kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
matrixMul.1.sm_75.ptx 220 : 14336000 86425632 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 221 : 14336000 556249376 0 448000 448000 0 0 0 0 
matrixMul.1.sm_75.ptx 222 : 14336000 557843104 0 448000 448000 0 0 0 0 
matrixMul.1.sm_75.ptx 223 : 14336000 86648736 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 224 : 14336000 551767584 0 448000 448000 0 0 0 0 
matrixMul.1.sm_75.ptx 225 : 14336000 553823008 0 448000 448000 0 0 0 0 
matrixMul.1.sm_75.ptx 226 : 14336000 86476640 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 227 : 14336000 550290944 0 448000 448000 0 0 0 0 
matrixMul.1.sm_75.ptx 228 : 14336000 551498688 0 448000 448000 0 0 0 0 
matrixMul.1.sm_75.ptx 229 : 14336000 86475936 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 230 : 14336000 548109248 0 448000 448000 0 0 0 0 
matrixMul.1.sm_75.ptx 231 : 14336000 549979488 0 448000 448000 0 0 0 0 
matrixMul.1.sm_75.ptx 232 : 14336000 86286304 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 233 : 14336000 547727136 0 448000 448000 0 0 0 0 
matrixMul.1.sm_75.ptx 234 : 14336000 548484992 0 448000 448000 0 0 0 0 
matrixMul.1.sm_75.ptx 235 : 14336000 86413344 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 236 : 14336000 546886816 0 448000 448000 0 0 0 0 
matrixMul.1.sm_75.ptx 237 : 14336000 547705728 0 448000 448000 0 0 0 0 
matrixMul.1.sm_75.ptx 238 : 14336000 86460256 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 239 : 14336000 546645472 0 448000 448000 0 0 0 0 
matrixMul.1.sm_75.ptx 240 : 14336000 547347872 0 448000 448000 0 0 0 0 
matrixMul.1.sm_75.ptx 241 : 14336000 86591616 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 242 : 14336000 545065824 0 448000 448000 0 0 0 0 
matrixMul.1.sm_75.ptx 243 : 14336000 546916448 0 448000 448000 0 0 0 0 
matrixMul.1.sm_75.ptx 244 : 14336000 86344352 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 245 : 14336000 545439328 0 448000 448000 0 0 0 0 
matrixMul.1.sm_75.ptx 246 : 14336000 546959072 0 448000 448000 0 0 0 0 
matrixMul.1.sm_75.ptx 247 : 14336000 86688736 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 248 : 14336000 544193280 0 448000 448000 0 0 0 0 
matrixMul.1.sm_75.ptx 249 : 14336000 545832704 0 448000 448000 0 0 0 0 
matrixMul.1.sm_75.ptx 250 : 14336000 86458464 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 251 : 14336000 544927360 0 448000 448000 0 0 0 0 
matrixMul.1.sm_75.ptx 252 : 14336000 545575360 0 448000 448000 0 0 0 0 
matrixMul.1.sm_75.ptx 253 : 14336000 86443808 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 254 : 14336000 543996896 0 448000 448000 0 0 0 0 
matrixMul.1.sm_75.ptx 255 : 14336000 544688288 0 448000 448000 0 0 0 0 
matrixMul.1.sm_75.ptx 256 : 14336000 86658912 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 257 : 14336000 543256160 0 448000 448000 0 0 0 0 
matrixMul.1.sm_75.ptx 258 : 14336000 544070176 0 448000 448000 0 0 0 0 
matrixMul.1.sm_75.ptx 259 : 14336000 86546784 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 260 : 14336000 542282816 0 448000 448000 0 0 0 0 
matrixMul.1.sm_75.ptx 261 : 14336000 543335680 0 448000 448000 0 0 0 0 
matrixMul.1.sm_75.ptx 262 : 14336000 86584576 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 263 : 14336000 542491392 0 448000 448000 0 0 0 0 
matrixMul.1.sm_75.ptx 264 : 14336000 542769952 0 448000 448000 0 0 0 0 
matrixMul.1.sm_75.ptx 265 : 14336000 86441984 0 0 0 0 0 0 0 
